,Timestep,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSVAR,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSSTD
24987,2074-06-01,32.76720428466797,4.305459022521973,2.0749599933624268
24988,2074-06-02,32.9295654296875,3.138489007949829,1.771578073501587
24989,2074-06-03,25.699491500854492,2.826151132583618,1.681115984916687
24990,2074-06-04,22.329551696777344,3.5395474433898926,1.8813685178756714
24991,2074-06-05,28.730283737182617,6.2098612785339355,2.4919593334198
24992,2074-06-06,28.7860050201416,3.592712879180908,1.8954453468322754
24993,2074-06-07,25.832195281982422,3.8124911785125732,1.9525601863861084
24994,2074-06-08,29.94485092163086,2.5417428016662598,1.5942844152450562
24995,2074-06-09,28.799320220947266,5.161382675170898,2.2718677520751953
24996,2074-06-10,28.02255630493164,6.701972961425781,2.5888168811798096
24997,2074-06-11,29.522998809814453,6.607973098754883,2.5705978870391846
24998,2074-06-12,28.860811233520508,3.8532280921936035,1.9629640579223633
24999,2074-06-13,30.355796813964844,5.427469730377197,2.329693078994751
25000,2074-06-14,32.310890197753906,3.5912864208221436,1.8950690031051636
25001,2074-06-15,29.617206573486328,3.257560968399048,1.8048714399337769
25002,2074-06-16,30.653121948242188,3.0402674674987793,1.7436362504959106
25003,2074-06-17,33.16588592529297,3.6400351524353027,1.907887578010559
25004,2074-06-18,34.68868637084961,3.682319402694702,1.918937087059021
25005,2074-06-19,33.736122131347656,5.998150825500488,2.4491121768951416
25006,2074-06-20,32.23212432861328,4.322004795074463,2.0789432525634766
25007,2074-06-21,33.00330352783203,4.529208183288574,2.1281936168670654
25008,2074-06-22,32.44465255737305,6.113473892211914,2.472543954849243
25009,2074-06-23,26.929052352905273,4.053287506103516,2.013277769088745
25010,2074-06-24,28.493635177612305,5.188894748687744,2.277914524078369
25011,2074-06-25,29.891921997070312,4.071648120880127,2.0178325176239014
25012,2074-06-26,29.975154876708984,3.4449381828308105,1.856054425239563
25013,2074-06-27,30.917911529541016,3.7942306995391846,1.9478784799575806
25014,2074-06-28,30.946460723876953,3.4503068923950195,1.8575001955032349
25015,2074-06-29,29.981273651123047,5.766573905944824,2.401369094848633
25016,2074-06-30,32.23310852050781,3.444262981414795,1.8558725118637085
25017,2074-07-01,30.710403442382812,2.9081907272338867,1.7053418159484863
25018,2074-07-02,31.835952758789062,6.983910083770752,2.6427087783813477
25019,2074-07-03,33.47417449951172,5.107255458831787,2.2599236965179443
25020,2074-07-04,30.5665225982666,7.997003078460693,2.827897310256958
25021,2074-07-05,28.117788314819336,4.42512321472168,2.103597640991211
25022,2074-07-06,29.017980575561523,3.0554442405700684,1.7479828596115112
25023,2074-07-07,33.580726623535156,2.921268939971924,1.709172010421753
25024,2074-07-08,35.31163024902344,3.3818116188049316,1.8389703035354614
25025,2074-07-09,33.552276611328125,4.081904888153076,2.0203723907470703
25026,2074-07-10,32.053001403808594,4.796133518218994,2.1900076866149902
25027,2074-07-11,34.5587158203125,4.209734916687012,2.0517637729644775
25028,2074-07-12,35.466148376464844,4.615423679351807,2.1483538150787354
25029,2074-07-13,30.49991226196289,5.221682071685791,2.285099983215332
25030,2074-07-14,32.44877624511719,4.347512245178223,2.085068941116333
25031,2074-07-15,33.20394515991211,3.790940999984741,1.9470338821411133
25032,2074-07-16,34.47719955444336,3.1059460639953613,1.7623693943023682
25033,2074-07-17,32.008766174316406,2.9443063735961914,1.7158981561660767
25034,2074-07-18,32.39561462402344,3.525015354156494,1.87750244140625
25035,2074-07-19,32.699275970458984,3.8579182624816895,1.9641584157943726
25036,2074-07-20,31.586118698120117,3.448979139328003,1.857142686843872
25037,2074-07-21,26.493568420410156,4.967568874359131,2.228804349899292
25038,2074-07-22,26.619770050048828,4.649258136749268,2.1562137603759766
25039,2074-07-23,30.214847564697266,3.0801353454589844,1.7550314664840698
25040,2074-07-24,28.03190803527832,3.4204258918762207,1.8494393825531006
25041,2074-07-25,29.425180435180664,3.3021128177642822,1.8171716928482056
25042,2074-07-26,31.056535720825195,4.9404072761535645,2.222702741622925
25043,2074-07-27,33.663150787353516,3.7993485927581787,1.9491918087005615
25044,2074-07-28,36.12120056152344,5.610483646392822,2.3686459064483643
25045,2074-07-29,32.73550796508789,4.865455150604248,2.205777645111084
25046,2074-07-30,30.73723793029785,5.891964912414551,2.4273369312286377
25047,2074-07-31,31.997556686401367,4.563728332519531,2.1362884044647217
25048,2074-08-01,35.09111785888672,4.740358829498291,2.177236557006836
25049,2074-08-02,37.15007781982422,4.430800914764404,2.1049468517303467
25050,2074-08-03,38.5222053527832,5.414426326751709,2.3268918991088867
25051,2074-08-04,36.562477111816406,7.223825454711914,2.6877174377441406
25052,2074-08-05,33.027462005615234,3.8680458068847656,1.966734766960144
25053,2074-08-06,32.50813674926758,3.032383918762207,1.741374135017395
25054,2074-08-07,33.60308074951172,3.31710147857666,1.821291208267212
25055,2074-08-08,33.30470657348633,4.5167622566223145,2.125267505645752
25056,2074-08-09,30.7606143951416,5.1270551681518555,2.2643001079559326
25057,2074-08-10,29.587587356567383,4.58986759185791,2.14239764213562
25058,2074-08-11,26.393884658813477,5.123146057128906,2.263436794281006
25059,2074-08-12,25.224853515625,4.583285808563232,2.1408610343933105
25060,2074-08-13,26.46079444885254,3.5446112155914307,1.882713794708252
25061,2074-08-14,26.723655700683594,3.759286403656006,1.9388879537582397
25062,2074-08-15,29.153125762939453,5.0634660720825195,2.2502145767211914
25063,2074-08-16,30.31243896484375,4.35606575012207,2.0871191024780273
25064,2074-08-17,30.494970321655273,6.228046417236328,2.49560546875
25065,2074-08-18,31.768260955810547,4.236989974975586,2.0583949089050293
25066,2074-08-19,29.920082092285156,4.610333442687988,2.1471686363220215
25067,2074-08-20,28.51919174194336,5.258157730102539,2.293067216873169
25068,2074-08-21,30.248878479003906,4.714095592498779,2.171196699142456
25069,2074-08-22,31.656591415405273,3.7218785285949707,1.9292171001434326
25070,2074-08-23,31.862892150878906,7.287565231323242,2.6995491981506348
25071,2074-08-24,32.015953063964844,3.689375162124634,1.9207745790481567
25072,2074-08-25,35.53583908081055,5.398966312408447,2.3235676288604736
25073,2074-08-26,36.59208297729492,5.907015800476074,2.4304354190826416
25074,2074-08-27,36.37640380859375,4.8078203201293945,2.192674160003662
25075,2074-08-28,32.41130065917969,3.6348931789398193,1.9065395593643188
25076,2074-08-29,34.4973030090332,3.4321837425231934,1.8526153564453125
25077,2074-08-30,35.278602600097656,3.4608607292175293,1.8603389263153076
25078,2074-08-31,34.29483413696289,3.413583278656006,1.8475885391235352
25079,2074-09-01,31.74791717529297,7.59788703918457,2.7564265727996826
25080,2074-09-02,29.47233009338379,4.068634033203125,2.017085552215576
25081,2074-09-03,29.91895866394043,3.2405099868774414,1.80014169216156
